"Industry","Total"
"Pharmaceuticals/Health Products","$243821907"
"Insurance","$163225005"
"Oil & Gas","$151378177"
"Electric Utilities","$147211215"
"Electronics Mfg & Equip","$132748129"
"Misc Manufacturing & Distributing","$114647979"
"Securities & Investment","$106936226"
"Business Associations","$105583445"
"Hospitals/Nursing Homes","$101004806"
"Telecom Services","$100951985"
"Civil Servants/Public Officials","$95040705"
"Education","$94490370"
"Air Transport","$80914141"
"Health Professionals","$80320907"
"Health Services/HMOs","$76098192"
"TV/Movies/Music","$72802092"
"Defense Aerospace","$72471900"
"Real Estate","$66257084"
"Automotive","$63359738"
"Commercial Banks","$60364654"
