"Industry","Total"
"Pharmaceuticals/Health Products","$379597634"
"Electronics Mfg & Equip","$226416780"
"Insurance","$159110915"
"Securities & Investment","$143378663"
"Real Estate","$138147839"
"Business Associations","$132202961"
"Health Services/HMOs","$127433218"
"Oil & Gas","$125871364"
"Hospitals/Nursing Homes","$125090477"
"Electric Utilities","$124813191"
"Air Transport","$121124773"
"Misc Manufacturing & Distributing","$119749927"
"Telecom Services","$117872650"
"Civil Servants/Public Officials","$111554834"
"Health Professionals","$97827942"
"Internet","$94995591"
"Education","$89388334"
"Automotive","$80465830"
"TV/Movies/Music","$67068018"
"Chemical & Related Manufacturing","$66647644"
