"Industry","Total"
"Pharmaceuticals/Health Products","$240876413"
"Electric Utilities","$162473486"
"Insurance","$153161357"
"Electronics Mfg & Equip","$140229325"
"Oil & Gas","$135706287"
"Business Associations","$131149128"
"Hospitals/Nursing Homes","$104576028"
"Civil Servants/Public Officials","$103928448"
"Education","$102275212"
"Misc Manufacturing & Distributing","$97820393"
"Securities & Investment","$97157509"
"Telecom Services","$89535468"
"Air Transport","$86874501"
"Real Estate","$81112016"
"Health Professionals","$77956293"
"TV/Movies/Music","$75333145"
"Misc Issues","$69974992"
"Automotive","$67544197"
"Health Services/HMOs","$61191292"
"Defense Aerospace","$58634364"
