"Industry","Total"
"Pharmaceuticals/Health Products","$318598801"
"Electronics Mfg & Equip","$167052582"
"Insurance","$156864622"
"Real Estate","$136437832"
"Business Associations","$122840111"
"Hospitals/Nursing Homes","$117774880"
"Oil & Gas","$113249376"
"Securities & Investment","$111423720"
"Electric Utilities","$110692019"
"Telecom Services","$109559264"
"Misc Manufacturing & Distributing","$109139755"
"Health Services/HMOs","$109008087"
"Air Transport","$108937142"
"Civil Servants/Public Officials","$95311451"
"Health Professionals","$88886950"
"Education","$78590129"
"Internet","$74503414"
"Automotive","$65293225"
"Commercial Banks","$61846553"
"TV/Movies/Music","$56795804"
