"Industry","Total"
"Pharmaceuticals/Health Products","$279319442"
"Insurance","$163696985"
"Electronics Mfg & Equip","$146449848"
"Business Associations","$137535020"
"Oil & Gas","$127283905"
"Electric Utilities","$116545720"
"Hospitals/Nursing Homes","$106795695"
"Real Estate","$104492983"
"Securities & Investment","$102158935"
"Air Transport","$93713485"
"Misc Manufacturing & Distributing","$92646652"
"Health Professionals","$88715687"
"Telecom Services","$88297698"
"Civil Servants/Public Officials","$85675079"
"Health Services/HMOs","$83854712"
"Education","$75306013"
"Automotive","$71632666"
"Defense Aerospace","$68441953"
"TV/Movies/Music","$67551258"
"Internet","$65858663"
