"Industry","Total"
"Pharmaceuticals/Health Products","$100564597"
"Electric Utilities","$90882038"
"Insurance","$79852529"
"Electronics Mfg & Equip","$65507758"
"Education","$56849041"
"Oil & Gas","$51833571"
"Civil Servants/Public Officials","$51729877"
"Misc Manufacturing & Distributing","$49874251"
"Real Estate","$49660349"
"Health Professionals","$48629090"
"Air Transport","$48185421"
"Hospitals/Nursing Homes","$47886087"
"Business Associations","$46718229"
"Telecom Services","$45984078"
"Telephone Utilities","$40472775"
"Defense Aerospace","$40195116"
"Securities & Investment","$39782903"
"Misc Issues","$36109374"
"Chemical & Related Manufacturing","$33166677"
"TV/Movies/Music","$29075369"
