"Industry","Total"
"Pharmaceuticals/Health Products","$303536612"
"Insurance","$159103617"
"Electronics Mfg & Equip","$158725085"
"Oil & Gas","$126980359"
"Business Associations","$125292466"
"Electric Utilities","$120901414"
"Hospitals/Nursing Homes","$111466555"
"Misc Manufacturing & Distributing","$109303706"
"Securities & Investment","$108060994"
"Air Transport","$107631999"
"Telecom Services","$106968552"
"Health Professionals","$95961580"
"Health Services/HMOs","$94469171"
"Civil Servants/Public Officials","$91559868"
"Non-Profit Institutions","$91106055"
"Real Estate","$91002628"
"Education","$78685716"
"Automotive","$71091330"
"Internet","$69636315"
"TV/Movies/Music","$65604127"
