"Industry","Total"
"Pharmaceuticals/Health Products","$230962439"
"Business Associations","$164679213"
"Insurance","$156898021"
"Oil & Gas","$144165272"
"Electronics Mfg & Equip","$124454712"
"Electric Utilities","$122417122"
"Securities & Investment","$101805630"
"Real Estate","$97475361"
"Misc Manufacturing & Distributing","$96578076"
"Telecom Services","$94245731"
"Hospitals/Nursing Homes","$92839189"
"Health Professionals","$84314350"
"Civil Servants/Public Officials","$84026660"
"Air Transport","$82085662"
"Education","$75498985"
"Health Services/HMOs","$75452464"
"TV/Movies/Music","$71760291"
"Defense Aerospace","$69813040"
"Commercial Banks","$66582052"
"Chemical & Related Manufacturing","$65290696"
