"Industry","Total"
"Pharmaceuticals/Health Products","$237117949"
"Business Associations","$174771856"
"Insurance","$156393581"
"Electric Utilities","$147395468"
"Oil & Gas","$142225283"
"Electronics Mfg & Equip","$128624078"
"Misc Manufacturing & Distributing","$104467252"
"Securities & Investment","$102347633"
"Telecom Services","$94726308"
"Hospitals/Nursing Homes","$94581836"
"Civil Servants/Public Officials","$86318491"
"Real Estate","$82315008"
"Education","$82289158"
"Air Transport","$78867062"
"Health Professionals","$78507983"
"Defense Aerospace","$75378226"
"Health Services/HMOs","$74756790"
"TV/Movies/Music","$71960207"
"Commercial Banks","$60320314"
"Automotive","$59415190"
