"Industry","Total"
"Pharmaceuticals/Health Products","$248146620"
"Electric Utilities","$193626765"
"Business Associations","$174232882"
"Insurance","$163349335"
"Oil & Gas","$148435543"
"Electronics Mfg & Equip","$135456887"
"Misc Manufacturing & Distributing","$127606855"
"Hospitals/Nursing Homes","$110286217"
"Securities & Investment","$108287709"
"Civil Servants/Public Officials","$105229498"
"Education","$99979173"
"Air Transport","$87829818"
"Health Professionals","$85715383"
"Telecom Services","$85664428"
"Health Services/HMOs","$74233588"
"TV/Movies/Music","$69941743"
"Real Estate","$63819102"
"Defense Aerospace","$63814465"
"Misc Issues","$60332757"
"Automotive","$58303438"
