"Industry","Total"
"Pharmaceuticals/Health Products","$364358019"
"Electronics Mfg & Equip","$196650500"
"Insurance","$154572508"
"Health Services/HMOs","$123101039"
"Business Associations","$123044243"
"Securities & Investment","$122340246"
"Hospitals/Nursing Homes","$121210282"
"Oil & Gas","$120737396"
"Telecom Services","$114609425"
"Electric Utilities","$113161713"
"Air Transport","$111844062"
"Misc Manufacturing & Distributing","$109434177"
"Civil Servants/Public Officials","$102893594"
"Real Estate","$99239714"
"Health Professionals","$90261833"
"Internet","$85052800"
"Education","$81703167"
"Automotive","$74221672"
"Misc Issues","$65132158"
"TV/Movies/Music","$60772715"
