"Industry","Total"
"Pharmaceuticals/Health Products","$130079969"
"Insurance","$111025575"
"Electric Utilities","$92154615"
"Electronics Mfg & Equip","$89538165"
"Business Associations","$74502198"
"Real Estate","$72609564"
"Education","$72520816"
"Civil Servants/Public Officials","$70455760"
"Hospitals/Nursing Homes","$63082743"
"Misc Manufacturing & Distributing","$59779183"
"Health Professionals","$56405891"
"Misc Issues","$56271824"
"Oil & Gas","$55763514"
"Securities & Investment","$50809601"
"Telecom Services","$49548218"
"Telephone Utilities","$47980141"
"Air Transport","$45206989"
"Automotive","$44846094"
"TV/Movies/Music","$42875160"
"Defense Aerospace","$39976267"
