"Industry","Total"
"Pharmaceuticals/Health Products","$275404217"
"Business Associations","$184579015"
"Oil & Gas","$176508320"
"Insurance","$169130777"
"Electric Utilities","$147818122"
"Electronics Mfg & Equip","$134479787"
"Misc Manufacturing & Distributing","$112820195"
"Hospitals/Nursing Homes","$112440725"
"Civil Servants/Public Officials","$106182729"
"Education","$99278274"
"Securities & Investment","$99269851"
"Telecom Services","$88090573"
"Health Professionals","$84575969"
"Air Transport","$84324836"
"Health Services/HMOs","$74260415"
"TV/Movies/Music","$70959280"
"Real Estate","$68034874"
"Misc Issues","$62431006"
"Automotive","$61543554"
"Food & Beverage","$57536216"
