"Industry","Total"
"Pharmaceuticals/Health Products","$84804372"
"Electric Utilities","$77947193"
"Insurance","$77664312"
"Oil & Gas","$60109200"
"Electronics Mfg & Equip","$51051716"
"Telephone Utilities","$50086399"
"Health Professionals","$47075282"
"Business Associations","$45373416"
"Misc Manufacturing & Distributing","$45303831"
"Civil Servants/Public Officials","$42263988"
"Air Transport","$40438843"
"Real Estate","$38305579"
"Securities & Investment","$36302641"
"Education","$35881772"
"Telecom Services","$35323146"
"Hospitals/Nursing Homes","$34744518"
"Misc Issues","$33925485"
"TV/Movies/Music","$32392168"
"Chemical & Related Manufacturing","$32152450"
"Defense Aerospace","$32033764"
