"Industry","Total"
"Pharmaceuticals/Health Products","$381425889"
"Electronics Mfg & Equip","$241640263"
"Insurance","$157759164"
"Securities & Investment","$146712294"
"Air Transport","$137083012"
"Oil & Gas","$132822336"
"Hospitals/Nursing Homes","$132635588"
"Electric Utilities","$128057651"
"Health Services/HMOs","$127810468"
"Misc Manufacturing & Distributing","$122268679"
"Civil Servants/Public Officials","$120953081"
"Business Associations","$119871303"
"Telecom Services","$117308186"
"Real Estate","$108641189"
"Internet","$100454761"
"Health Professionals","$96025583"
"Education","$96008344"
"Automotive","$85762342"
"Non-Profit Institutions","$77849974"
"TV/Movies/Music","$70405968"
