"Industry","Total"
"Pharmaceuticals/Health Products","$120607298"
"Electric Utilities","$95346168"
"Insurance","$92031903"
"Electronics Mfg & Equip","$75779588"
"Business Associations","$70966301"
"Education","$65929732"
"Civil Servants/Public Officials","$60996418"
"Real Estate","$60725091"
"Oil & Gas","$57826396"
"Hospitals/Nursing Homes","$52314288"
"Misc Issues","$48506072"
"Air Transport","$47868734"
"Misc Manufacturing & Distributing","$46623358"
"Health Professionals","$45708153"
"Telecom Services","$44384213"
"Securities & Investment","$44201458"
"Defense Aerospace","$42456820"
"Automotive","$41902645"
"Telephone Utilities","$39114818"
"TV/Movies/Music","$37648498"
