"Industry","Total"
"Pharmaceuticals/Health Products","$187632247"
"Insurance","$133555508"
"Electronics Mfg & Equip","$122210321"
"Electric Utilities","$111437335"
"Business Associations","$105892299"
"Civil Servants/Public Officials","$91191957"
"Hospitals/Nursing Homes","$89051608"
"Telecom Services","$85448884"
"Education","$85094999"
"Misc Manufacturing & Distributing","$82655790"
"Real Estate","$80851473"
"Oil & Gas","$75874103"
"Securities & Investment","$66535809"
"Misc Issues","$66359675"
"Health Professionals","$64810920"
"TV/Movies/Music","$61799016"
"Telephone Utilities","$59525188"
"Automotive","$59109093"
"Air Transport","$57828695"
"Misc Defense","$50591560"
