"Industry","Total"
"Pharmaceuticals/Health Products","$100055942"
"Electric Utilities","$81240233"
"Insurance","$75099768"
"Electronics Mfg & Equip","$59969332"
"Business Associations","$57029982"
"Oil & Gas","$50673883"
"Health Professionals","$48046400"
"Air Transport","$47753819"
"Civil Servants/Public Officials","$47088684"
"Education","$46491634"
"Misc Manufacturing & Distributing","$46319784"
"Securities & Investment","$44904562"
"Real Estate","$44734009"
"Telephone Utilities","$43903232"
"Telecom Services","$39317750"
"Misc Issues","$37151993"
"Defense Aerospace","$36079115"
"TV/Movies/Music","$35236507"
"Hospitals/Nursing Homes","$35097031"
"Automotive","$33735451"
