"Industry","Total"
"Pharmaceuticals/Health Products","$229221921"
"Insurance","$138542287"
"Electronics Mfg & Equip","$136215112"
"Electric Utilities","$112323266"
"Hospitals/Nursing Homes","$98505063"
"Civil Servants/Public Officials","$96377275"
"Education","$91064084"
"Securities & Investment","$89979741"
"Business Associations","$88127945"
"Misc Manufacturing & Distributing","$87168691"
"Oil & Gas","$87024482"
"Telecom Services","$83932896"
"Real Estate","$80192661"
"Air Transport","$75558373"
"Automotive","$71069084"
"Health Professionals","$69501991"
"Misc Issues","$66784372"
"TV/Movies/Music","$62048248"
"Misc Defense","$49265704"
"Health Services/HMOs","$49109140"
