"Industry","Total"
"Pharmaceuticals/Health Products","$243163411"
"Insurance","$166243984"
"Oil & Gas","$134567004"
"Business Associations","$130786905"
"Electronics Mfg & Equip","$126448168"
"Electric Utilities","$117328237"
"Misc Manufacturing & Distributing","$107484595"
"Securities & Investment","$100432754"
"Hospitals/Nursing Homes","$99679223"
"Telecom Services","$89668276"
"Health Professionals","$87419193"
"Air Transport","$83924832"
"Civil Servants/Public Officials","$83343637"
"Real Estate","$81441597"
"Health Services/HMOs","$76030563"
"Defense Aerospace","$73444571"
"Education","$73092574"
"TV/Movies/Music","$68973091"
"Commercial Banks","$67525142"
"Automotive","$61172346"
