"Industry","Total"
"Pharmaceuticals/Health Products","$167996306"
"Insurance","$126486068"
"Electronics Mfg & Equip","$111584656"
"Electric Utilities","$98201392"
"Civil Servants/Public Officials","$90447327"
"Real Estate","$86726277"
"Education","$85211042"
"Misc Issues","$82961128"
"Misc Manufacturing & Distributing","$82079798"
"Hospitals/Nursing Homes","$79703913"
"Business Associations","$77581648"
"Oil & Gas","$66509269"
"Telecom Services","$65168414"
"Securities & Investment","$61902321"
"Health Professionals","$60664947"
"TV/Movies/Music","$54217435"
"Automotive","$52969979"
"Air Transport","$51701438"
"Telephone Utilities","$50033722"
"Misc Defense","$43282145"
