EST_LEV,SIC,OCC_CODE,COW,EMP,REP_UNT,REL_ER,DIST,OCC_TIT,YEAR
4,0710,00000,0,4110,9999999,99999.00,100.00,INDUSTRY TOTAL,1995
4,0710,10000,3,340,9999999,99999.00,8.27,MANAGERIAL & ADMINISTRATIVE,1995
4,0710,13002,3,20,3,55.55,0.49,FINANCIAL MANAGERS,1995
4,0710,13005,3,90,15,22.25,2.19,"PERSONNEL, TRAINING & LABOR RELATIONS MANAGERS",1995
4,0710,13011,3,40,13,20.04,0.97,MARKETING/ADVERTISING/PUBLIC RELATIONS MANAGERS,1995
4,0710,19005,3,190,53,10.78,4.62,GENERAL MANAGERS & TOP EXECUTIVES,1995
4,0710,20000,3,20,9999999,99999.00,0.49,PROFESSIONAL/PARAPROFESSIONAL & TECHNICAL OCCUPATIONS,1995
4,0710,21100,3,10,9999999,99999.00,0.24,"ACCOUNTANTS, AUDITORS & OTHER FINANCIAL SPECIALISTS",1995
4,0710,21114,3,10,8,0.00,0.24,ACCOUNTANTS & AUDITORS,1995
4,0710,24300,3,10,9999999,99999.00,0.24,LIFE SCIENTISTS,1995
4,0710,40000,3,50,9999999,99999.00,1.22,SALES & RELATED OCCUPATIONS,1995
4,0710,43000,3,10,9999999,99999.00,0.24,"SALES WORKERS, SERVICES",1995
4,0710,49005,3,20,4,0.00,0.49,"SALESPERSONS, SCIENTIFIC PRODUCTS & SERVICES",1995
4,0710,49999,3,20,9999999,99999.00,0.49,ALL OTHER SALES & RELATED,1995
4,0710,50000,3,490,9999999,99999.00,11.92,CLERICAL & ADMINISTRATIVE SUPPORT,1995
4,0710,51002,3,80,29,24.68,1.95,"FIRST LINE SUPERVISORS, CLERICAL & ADMINISTRATIVE",1995
4,0710,55108,3,90,27,35.28,2.19,"SECRETARIES, EXCEPT LEGAL & MEDICAL",1995
4,0710,55305,3,20,11,16.50,0.49,RECEPTIONISTS & INFORMATION CLERKS,1995
4,0710,55307,3,10,6,28.87,0.24,"TYPISTS, INCLUDING WORD PROCESSING",1995
4,0710,55323,3,40,7,54.26,0.97,"ORDER CLERKS, MATERIALS, MERCHANDISE & SERVICE",1995
4,0710,55338,3,140,35,20.87,3.41,"BOOKKEEPING, ACCOUNTING & AUDITING CLERKS",1995
4,0710,55347,3,100,33,17.41,2.43,GENERAL OFFICE CLERKS,1995
4,0710,58000,3,10,9999999,99999.00,0.24,MATERIAL RECORDING/SCHEDULING/DISPATCHING/DISTRIBUTING,1995
4,0710,58028,3,10,4,15.71,0.24,"TRAFFIC, SHIPPING, & RECEIVING CLERKS",1995
4,0710,60000,3,20,9999999,99999.00,0.49,SERVICE OCCUPATIONS,1995
4,0710,67005,3,20,4,58.88,0.49,JANITORS & CLEANERS,1995
4,0710,70000,3,1820,9999999,99999.00,44.28,"AGRICULTURAL, FORESTRY, FISHING & RELATED",1995
4,0710,72002,3,190,39,12.57,4.62,"FIRST LINE SUPERVISORS, AGRICULTURAL/FORESTRY/FISHING",1995
4,0710,79021,3,730,69,4.67,17.76,FARM EQUIPMENT OPERATORS,1995
4,0710,79036,3,180,8,47.02,4.38,SPRAYERS/APPLICATORS,1995
4,0710,79856,3,590,40,11.37,14.36,"FARMWORKERS, FOOD & FIBER CROPS",1995
4,0710,79858,3,30,3,21.43,0.73,"FARMWORKERS, FARM & RANCH ANIMALS",1995
4,0710,79999,3,100,9999999,99999.00,2.43,"ALL OTHER AGRICULTURAL, FORESTRY & FISHING WORKERS",1995
4,0710,80000,3,1370,9999999,99999.00,33.33,PRODUCT/CONSTRUCT/OPERATE MAINTENANCE/MATERIAL HANDLING,1995
4,0710,81000,3,60,9999999,99999.00,1.46,FIRST LINE SUPERVISORS-PRODUCT/CONSTRUCT/MAINTENANCE/RELATED,1995
4,0710,81008,3,50,18,10.42,1.22,"FIRST LINE SUPERVISORS, PRODUCTION & OPERATING",1995
4,0710,81099,3,10,9999999,99999.00,0.24,"OTHER FIRST LINE SUPERVISORS, PRODUCT/CONSTRUCT/MAINTAIN",1995
4,0710,85000,3,180,9999999,99999.00,4.38,"MECHANICS, INSTALLERS & REPAIRERS",1995
4,0710,85110,3,70,20,36.78,1.70,MACHINERY MAINTENANCE MECHANICS,1995
4,0710,85302,3,30,9,16.32,0.73,AUTOMOTIVE MECHANICS,1995
4,0710,85321,3,80,26,9.21,1.95,FARM EQUIPMENT MECHANICS,1995
4,0710,87000,3,10,9999999,99999.00,0.24,"CONSTRUCTION TRADE WORKERS, EXCEPT MATERIAL MOVING",1995
4,0710,87599,3,10,9999999,99999.00,0.24,OTHER PLUMBING & RELATED,1995
4,0710,92900,3,60,9999999,99999.00,1.46,"OTHER MACHINE SETTERS, OPERATORS & TENDERS",1995
4,0710,92965,3,50,6,18.37,1.22,CRUSHING/GRINDING/MIXING/BLENDING MACHINE OPERATORS,1995
4,0710,92998,3,10,1,0.00,0.24,OTHER MACHINE OPERATORS & TENDERS,1995
4,0710,97100,3,750,9999999,99999.00,18.25,MOTOR VEHICLE OPERATORS,1995
4,0710,97102,3,550,58,9.47,13.38,"TRUCK DRIVERS, HEAVY OR TRACTOR TRAILER",1995
4,0710,97105,3,200,22,19.24,4.87,"TRUCK DRIVERS-LIGHT, INCLUDE DELIVERY/ROUTE WORKERS",1995
4,0710,97900,3,90,9999999,99999.00,2.19,MATERIAL MOVING EQUIPMENT OPERATORS,1995
4,0710,97947,3,50,10,32.43,1.22,INDUSTRIAL TRUCK & TRACTOR OPERATORS,1995
4,0710,97989,3,40,9999999,99999.00,0.97,OTHER MATERIAL MOVING EQUIPMENT OPERATORS,1995
4,0710,98000,3,220,9999999,99999.00,5.35,"HELPERS, LABORERS & MATERIAL MOVERS, HAND",1995
4,0710,98999,3,220,9999999,99999.00,5.35,"OTHER HELPERS, LABORERS & MATERIAL MOVERS, HAND",1995
4,0720,00000,0,104070,9999999,99999.00,100.00,INDUSTRY TOTAL,1995
4,0720,10000,3,4390,9999999,99999.00,4.22,MANAGERIAL & ADMINISTRATIVE,1995
4,0720,10000,5,30,9999999,99999.00,0.03,MANAGERIAL & ADMINISTRATIVE,1995
4,0720,13002,3,60,39,5.87,0.06,FINANCIAL MANAGERS,1995
4,0720,13005,3,680,154,9.45,0.65,"PERSONNEL, TRAINING & LABOR RELATIONS MANAGERS",1995
4,0720,13008,3,10,6,0.00,0.01,PURCHASING MANAGERS,1995
4,0720,13011,3,680,155,6.96,0.65,MARKETING/ADVERTISING/PUBLIC RELATIONS MANAGERS,1995
4,0720,13014,3,40,9,5.13,0.04,ADMINISTRATIVE MANAGERS,1995
4,0720,13017,3,10,5,0.00,0.01,"ENGINEERING, MATHEMATICAL & NATURAL SCIENCES MANAGERS",1995
4,0720,13099,5,10,9999999,99999.00,0.01,OTHER ADMINISTRATIVE MANAGERS,1995
4,0720,15031,3,10,5,0.00,0.01,NURSERY & GREENHOUSE MGR,1995
4,0720,15032,3,10,3,72.57,0.01,LAWN SERVICE MGR,1995
4,0720,19005,3,2800,567,7.75,2.69,GENERAL MANAGERS & TOP EXECUTIVES,1995
4,0720,19005,5,20,7,26.52,0.02,GENERAL MANAGERS & TOP EXECUTIVES,1995
4,0720,19999,3,90,17,13.91,0.09,ALL OTHER MANAGERS & ADMINISTRATORS,1995
4,0720,20000,3,1670,9999999,99999.00,1.60,PROFESSIONAL/PARAPROFESSIONAL & TECHNICAL OCCUPATIONS,1995
4,0720,20000,5,80,9999999,99999.00,0.08,PROFESSIONAL/PARAPROFESSIONAL & TECHNICAL OCCUPATIONS,1995
4,0720,21100,3,630,9999999,99999.00,0.61,"ACCOUNTANTS, AUDITORS & OTHER FINANCIAL SPECIALISTS",1995
4,0720,21114,3,630,132,12.34,0.61,ACCOUNTANTS & AUDITORS,1995
4,0720,21305,3,30,11,41.44,0.03,"BUYERS, FARM PRODUCTS",1995
4,0720,21308,3,10,3,0.00,0.01,PURCHASING AGENTS,1995
4,0720,21511,3,220,50,36.08,0.21,"PERSONNEL, TRAINING & LABOR RELATIONS SPECIALISTS",1995
4,0720,21999,3,20,9999999,99999.00,0.02,ALL OTHER MANAGEMENT SUPPORT,1995
4,0720,22100,3,20,9999999,99999.00,0.02,ENGINEERS,1995
4,0720,22123,3,10,4,0.00,0.01,AGRICULTURAL ENGINEERS,1995
4,0720,22199,3,10,9999999,99999.00,0.01,ALL OTHER ENGINEERS,1995
4,0720,24300,3,380,9999999,99999.00,0.37,LIFE SCIENTISTS,1995
4,0720,24300,5,60,9999999,99999.00,0.06,LIFE SCIENTISTS,1995
4,0720,24305,3,370,54,25.95,0.36,AGRICULTURAL & FOOD SCIENTISTS,1995
4,0720,24305,5,60,10,39.18,0.06,AGRICULTURAL & FOOD SCIENTISTS,1995
4,0720,24399,3,10,9999999,99999.00,0.01,ALL OTHER LIFE SCIENTISTS,1995
4,0720,24500,3,190,9999999,99999.00,0.18,PHYSICAL & LIFE SCIENCE TECHNICIANS & TECHNOLOGISTS,1995
4,0720,24500,5,20,9999999,99999.00,0.02,PHYSICAL & LIFE SCIENCE TECHNICIANS & TECHNOLOGISTS,1995
4,0720,24502,3,170,5,70.18,0.16,BIOLOGICAL/AGRICULTURAL/FOOD TECHNICIANS & TECHNOLOGISTS,1995
