EST_LEV,SIC,OCC_CODE,COW,EMP,REP_UNT,REL_ER,DIST,OCC_TIT,YEAR
4,4010,00000,0,240430,9999999,99999.00,100.00,INDUSTRY TOTAL,1994
4,4010,10000,3,18260,9999999,99999.00,7.61,MANAGERIAL & ADMINISTRATIVE,1994
4,4010,13002,3,630,89,0.00,0.26,FINANCIAL MANAGERS,1994
4,4010,13005,3,390,30,0.00,0.16,"PERSONNEL, TRAINING & LABOR RELATIONS MANAGERS",1994
4,4010,13008,3,90,24,0.00,0.04,PURCHASING MANAGERS,1994
4,4010,13011,3,620,81,0.00,0.26,MARKETING/ADVERTISING/PUBLIC RELATIONS MANAGERS,1994
4,4010,13014,3,360,55,0.00,0.15,ADMINISTRATIVE MANAGERS,1994
4,4010,13017,3,590,35,0.00,0.25,"ENGINEERING, MATHEMATICAL & NATURAL SCIENCES MANAGERS",1994
4,4010,15017,3,350,43,0.00,0.15,CONSTRUCTION MANAGERS,1994
4,4010,15023,3,6410,259,0.00,2.67,COMMUNICATIONS/TRANSPORTATION & UTILITIES MANAGERS,1994
4,4010,19005,3,6830,283,0.01,2.84,GENERAL MANAGERS & TOP EXECUTIVES,1994
4,4010,19999,3,1990,67,0.00,0.83,ALL OTHER MANAGERS & ADMINISTRATORS,1994
4,4010,20000,3,9980,9999999,99999.00,4.14,PROFESSIONAL/PARAPROFESSIONAL & TECHNICAL OCCUPATIONS,1994
4,4010,21100,3,860,9999999,99999.00,0.36,"ACCOUNTANTS, AUDITORS & OTHER FINANCIAL SPECIALISTS",1994
4,4010,21114,3,600,67,0.00,0.25,ACCOUNTANTS & AUDITORS,1994
4,4010,21117,3,80,9,0.00,0.04,BUDGET ANALYSTS,1994
4,4010,21199,3,180,17,0.00,0.07,OTHER FINANCIAL SPECIALISTS,1994
4,4010,21308,3,180,32,0.00,0.07,PURCHASING AGENTS,1994
4,4010,21511,3,260,20,0.00,0.11,"PERSONNEL, TRAINING & LABOR RELATIONS SPECIALISTS",1994
4,4010,21908,3,40,11,0.00,0.02,CONSTRUCTION & BUILDING INSPECTORS,1994
4,4010,21911,3,80,12,0.00,0.03,"COMPLIANCE OFFICERS, EXCEPT CONSTRUCTION",1994
4,4010,21999,3,1580,75,0.00,0.66,ALL OTHER MANAGEMENT SUPPORT,1994
4,4010,22100,3,540,9999999,99999.00,0.22,ENGINEERS,1994
4,4010,22121,3,200,29,0.00,0.08,"CIVIL ENGINEERS, INCLUDING TRAFFIC",1994
4,4010,22199,3,340,26,0.00,0.14,ALL OTHER ENGINEERS,1994
4,4010,22500,3,1980,9999999,99999.00,0.82,ENGINEERING & RELATED TECHNICIANS & TECHNOLOGISTS,1994
