Date,Total Public Debt to GDP Ratio
1789-12-31,27.917480557113276
1790-12-31,28.51103080482765
1791-12-31,26.861355757908978
1792-12-31,25.00719100417656
1793-12-31,21.15800068378743
1794-12-31,18.0649402940683
1795-12-31,16.764284695898855
1796-12-31,17.07932373579731
1797-12-31,16.208801568190772
1798-12-31,14.889380805164521
1799-12-31,15.132212819983653
1800-12-31,13.65988848991702
1801-12-31,14.530285300409838
1802-12-31,13.46245056752458
1803-12-31,13.821179560870643
1804-12-31,11.813783256955809
1805-12-31,10.992502037813075
1806-12-31,10.114590072370667
1807-12-31,10.179181666765704
1808-12-31,7.9514015780081335
1809-12-31,6.903725111931105
1810-12-31,6.084122573842893
1811-12-31,5.47845945809095
1812-12-31,5.630849612514843
1813-12-31,6.930493572651298
1814-12-31,8.00568095802996
1815-12-31,9.911569157631892
1816-12-31,9.319808731320887
1817-12-31,7.617306841266247
1818-12-31,7.806239486985989
1819-12-31,8.4013688481064
1820-12-31,8.747712748661314
1821-12-31,8.32606674553306
1822-12-31,8.314015687033756
1823-12-31,8.141717355307408
1824-12-31,6.729062068365968
1825-12-31,6.889349470743198
1826-12-31,6.264375347181104
1827-12-31,5.567484380427812
1828-12-31,4.723666878628876
1829-12-31,3.937707655706536
1830-12-31,2.930023372196942
1831-12-31,1.66795395620129
1832-12-31,0.4381818145686812
1833-12-31,0.2892036562407115
1834-12-31,0.0020104367929539325
1835-12-31,0.0021502727097077305
1836-12-31,0.01806793939993599
1837-12-31,0.18211844770574653
1838-12-31,0.55604402456206
1839-12-31,0.19504184825647478
1840-12-31,0.2964289565083415
1841-12-31,0.8037999286254776
1842-12-31,1.0908572312754066
1843-01-06,1.7681032210321657
1844-01-06,1.1794277414007606
1845-01-06,0.7465884463647672
1846-01-06,0.6828526390929446
1847-01-06,1.5427233420099873
1848-01-06,1.8469587163230812
1849-01-06,2.501015779638995
1850-01-06,2.2634402952738313
1851-01-06,2.404370996662733
1852-01-06,2.0714596725086234
1853-01-06,1.6658695206216225
1854-01-06,1.185347245833228
1855-01-06,0.8974237183529745
1856-01-06,0.767318101802155
1857-01-06,0.7127163844748902
1858-01-06,1.0536320836449213
1859-01-06,1.413834376555938
1860-01-06,1.5747280887342872
1861-01-06,2.134371250627547
1862-01-06,10.726050169847877
1863-01-06,18.164757968201545
1864-01-06,20.661310327750527
1865-01-06,30.60706717094493
1866-01-06,32.25510621066258
1867-01-06,32.13234232180439
1868-01-06,31.07070899265541
1869-01-06,31.150778728172913
1870-01-06,29.116060525382874
1871-01-06,26.726561713019333
1872-01-06,25.240628969065728
1873-01-06,24.026433645321646
1874-01-06,25.07124323504074
1875-01-06,24.66912704217851
1876-01-06,24.762754788206273
1877-01-06,24.67572555416635
1878-01-06,25.822009315171663
1879-01-06,24.67250191975676
1880-01-06,18.96304506663403
1881-01-06,17.958264560267104
1882-01-06,15.343465011927009
1883-01-06,15.224163359391355
1884-01-06,15.18415473290302
1885-01-06,15.741568548478146
1886-01-06,14.551128413011147
1887-01-06,12.994904846584237
1888-01-06,13.118587246441312
1889-01-06,11.785407047219753
1890-01-06,11.401703939646348
1891-01-06,11.008966722948156
1892-01-06,10.937466864289295
1893-01-06,10.618133061228882
1894-01-06,12.206775155570138
1895-01-06,11.394940365278309
1896-01-06,12.269662802646842
1897-01-06,11.831233368556138
1898-01-06,11.276782783357222
1899-01-06,11.039532358449595
1900-01-06,11.385944583570573
1901-01-06,10.129664024235831
1902-01-06,9.886378978845315
1903-01-06,9.562645290771018
1904-01-06,9.387911247812731
1905-01-06,8.6438958269981
1906-01-06,8.259331936827603
1907-01-06,8.448305893380777
1908-01-06,9.757974553342336
1909-01-06,8.772814673749595
1910-01-06,8.433386625339024
1911-01-06,8.538238214837417
1912-01-06,8.17393603344812
1913-01-06,7.9225455561549065
1914-01-06,8.449417794721162
1915-01-06,8.385124868402327
1916-01-06,7.8275564962754585
1917-01-06,10.374224448104155
1918-01-06,20.94004985852964
1919-01-06,35.57148396439019
1920-01-06,29.767512360572226
1921-06-29,32.719159791566014
1922-06-29,31.55340008408978
1923-06-29,26.19453282593755
1924-06-29,24.228204706981494
1925-06-29,22.498718132548042
1926-06-29,20.201526425992647
1927-06-29,19.270666520139034
1928-06-29,18.151874456354637
1929-06-28,16.34274950202703
1930-06-29,17.747050253760968
1931-06-29,21.962459466287584
1932-06-29,33.19761915524702
1933-06-29,39.96218539033688
1934-06-29,40.98960820375758
1935-06-28,39.15537875106412
1936-06-29,40.30852445552507
1937-06-29,39.63505302751904
1938-06-29,43.16462289831591
1939-06-29,43.86066422029283
1940-06-28,42.374290964181455
1941-06-29,38.64360184349645
1942-06-29,44.73282589019148
1943-06-29,68.8298541439577
1944-06-29,91.44831083763877
1945-06-29,115.94898584039893
1946-06-27,121.19752549404409
1947-06-29,105.00812427172234
1948-06-29,92.5615523937197
1949-06-29,93.152544070348
1950-06-29,88.62686601868566
1951-06-28,74.17302938618676
1952-06-29,71.7683236255796
1953-06-29,67.91875962378205
1954-06-29,70.25248538889623
1955-06-29,65.089773208824
1956-06-29,61.15351979760992
1957-06-29,57.312043196108256
1958-06-29,58.550020921697616
1959-06-29,54.47321780956389
1960-06-29,52.91837821548938
1961-06-29,52.01575724919674
1962-06-29,49.66983851864862
1963-06-29,48.568267031531455
1964-06-29,45.929695149261654
1965-06-29,43.45080930655678
1965-12-31,40.339987985935
1966-03-31,39.267634888276866
1966-06-30,39.62090581451811
1966-09-30,39.51976594319946
1966-12-31,39.20383335110227
1967-03-31,38.032917031318654
